Title	Universe	Release	Worldwide	Domestic	Intl	Open	Budget	RT	MC	IMDb	Final
Iron Man	MCU	2008-05-02	$585.8M	$319.0M	$266.8M	$98.6M	$140.0M	94	79	7.9	
The Incredible Hulk	MCU	2008-06-13	$264.8M	$134.8M	$130.0M	$55.4M	$150.0M	68	61	6.6	
Iron Man 2	MCU	2010-05-07	$623.9M	$312.4M	$311.5M	$128.1M	$200.0M	72	57	6.9	
Thor	MCU	2011-05-06	$449.3M	$181.0M	$268.3M	$65.7M	$150.0M	77	57	7	
Captain America: The First Avenger	MCU	2011-07-22	$370.6M	$176.7M	$193.9M	$65.1M	$140.0M	80	66	6.9	
The Avengers	MCU	2012-05-12	$1520.5M	$623.4M	$897.2M	$207.4M	$220.0M	91	69	8	
Iron Man 3	MCU	2013-05-03	$1215.6M	$409.0M	$806.6M	$174.1M	$200.0M	79	62	7.1	
Man of Steel	DCEU	2013-06-14	$670.1M	$291.0M	$379.1M	$116.6M	$225.0M	56	55	7.1	
Thor: The Dark World	MCU	2013-11-08	$644.8M	$206.4M	$438.4M	$85.7M	$170.0M	67	54	6.7	
Captain America: The Winter Soldier	MCU	2014-04-04	$714.4M	$259.8M	$454.7M	$95.0M	$170.0M	90	70	7.7	
Guardians of the Galaxy	MCU	2014-08-01	$773.4M	$333.7M	$439.6M	$94.3M	$170.0M	91	76	8	
Avengers: Age of Ultron	MCU	2015-05-01	$1405.0M	$459.0M	$946.0M	$191.3M	$250.0M	75	66	7.3	
Ant-Man	MCU	2015-07-17	$519.3M	$180.2M	$339.1M	$57.2M	$130.0M	83	64	7.2	
Batman v Superman: Dawn of Justice	DCEU	2016-03-25	$874.4M	$330.4M	$544.0M	$166.0M	$250.0M	28	44	6.4	
Captain America: Civil War	MCU	2016-05-06	$1155.0M	$408.1M	$747.0M	$179.1M	$250.0M	90	75	7.8	
Suicide Squad	DCEU	2016-08-05	$749.2M	$325.1M	$424.1M	$133.7M	$175.0M	26	40	5.9	
Doctor Strange	MCU	2016-11-04	$677.8M	$232.6M	$445.2M	$85.1M	$165.0M	89	72	7.5	
Guardians of the Galaxy Vol. 2	MCU	2017-05-05	$863.8M	$389.8M	$474.0M	$146.5M	$200.0M	85	67	7.6	
Wonder Woman	DCEU	2017-06-02	$824.0M	$412.8M	$411.1M	$103.3M	$149.0M	93	76	7.3	
Spider-Man: Homecoming	MCU	2017-07-07	$881.0M	$335.0M	$546.0M	$117.0M	$175.0M	92	73	7.4	
Thor: Ragnarok	MCU	2017-11-03	$855.3M	$315.1M	$540.2M	$122.7M	$180.0M	93	74	7.9	
Justice League	DCEU	2017-11-17	$661.3M	$229.0M	$432.3M	$93.8M	$300.0M*	39	45	6	
