Movie,Release Date,Franchise,Domestic,International,Total
Iron Man,2008-05-02,Marvel Studios,"$319,034,126","$266,762,121","$585,796,247"
The Incredible Hulk,2008-06-13,Marvel Studios,"$134,806,913","$129,964,083","$264,770,996"
Iron Man 2,2010-05-07,Marvel Studios,"$312,433,331","$311,500,000","$623,933,331"
Thor,2011-05-06,Marvel Studios,"$181,030,624","$268,295,994","$449,326,618"
Captain America: The First Avenger,2011-07-22,Marvel Studios,"$176,654,505","$193,915,269","$370,569,774"
The Avengers,2012-05-12,Marvel Studios,"$623,357,910","$897,180,626","$1,520,538,536"
Iron Man 3,2013-05-03,Marvel Studios,"$409,013,994","$806,563,211","$1,215,577,205"
Thor: The Dark World,2013-11-08,Marvel Studios,"$206,362,140","$438,421,000","$644,783,140"
Captain America: The Winter Soldier,2014-04-04,Marvel Studios,"$259,766,572","$454,654,931","$714,421,503"
Guardians of the Galaxy,2014-08-01,Marvel Studios,"$333,718,600","$439,631,547","$773,350,147"
Avengers: Age of Ultron,2015-05-01,Marvel Studios,"$459,005,868","$946,012,180","$1,405,018,048"
Ant-Man,2015-07-17,Marvel Studios,"$180,202,163","$339,109,802","$519,311,965"
Captain America: Civil War,2016-05-06,Marvel Studios,"$408,084,349","$746,962,067","$1,155,046,416"
Doctor Strange,2016-11-04,Marvel Studios,"$232,641,920","$445,154,156","$677,796,076"
Guardians of the Galaxy Vol. 2,2017-05-05,Marvel Studios,"$389,813,101","$473,942,950","$863,756,051"
Spider-Man: Homecoming,2017-07-07,Marvel Studios,"$334,201,140","$545,965,784","$880,166,924"
Thor: Ragnarok,2017-11-03,Marvel Studios,"$315,058,289","$540,243,517","$855,301,806"
Black Panther,2018-02-16,Marvel Studios,"$700,426,566","$649,499,517","$1,349,926,083"
Avengers: Infinity War,2018-04-27,Marvel Studios,"$678,815,482","$1,373,599,557","$2,052,415,039"
Ant-Man and the Wasp,2018-07-06,Marvel Studios,"$216,648,740","$406,025,399","$622,674,139"
Captain Marvel,2019-03-08,Marvel Studios,"$426,829,839","$704,586,607","$1,131,416,446"
Avengers: Endgame,2019-04-26,Marvel Studios,"$858,373,000","$1,941,066,100","$2,799,439,100"
Spider-Man: Far From Home,2019-07-02,Marvel Studios,"$390,532,085","$741,395,911","$1,131,927,996"
Black Widow,2021-07-09,Marvel Studios,"$183,651,655","$196,100,000","$379,751,655"
Shang-Chi and the Legend of the Ten Rings,2021-09-03,Marvel Studios,"$224,543,292","$207,700,000","$432,243,292"
Eternals,2021-11-05,Marvel Studios,"$164,870,234","$237,194,665","$402,064,899"
Spider-Man: No Way Home,2021-12-17,Marvel Studios,"$814,115,070","$1,107,732,041","$1,921,847,111"
Doctor Strange in the Multiverse of Madness,2022-05-06,Marvel Studios,"$411,331,607","$544,444,197","$955,775,804"
Thor: Love and Thunder,2022-07-08,Marvel Studios,"$343,256,830","$417,671,251","$760,928,081"
Black Panther: Wakanda Forever,2022-11-11,Marvel Studios,"$453,829,060","$405,379,776","$859,208,836"
Ant-Man and the Wasp: Quantumania,2023-02-17,Marvel Studios,"$214,504,909","$261,566,271","$476,071,180"
Guardians of the Galaxy Vol. 3,2023-05-05,Marvel Studios,"$358,995,815","$486,476,606","$845,472,421"
Man of Steel,2013-06-14,DC Extended Universe,"$291,045,518","$377,000,000","$668,045,518"
Batman v Superman: Dawn of Justice,2016-03-25,DC Extended Universe,"$330,360,194","$543,277,334","$873,637,528"
Suicide Squad,2016-08-05,DC Extended Universe,"$325,100,054","$421,746,840","$746,846,894"
Wonder Woman,2017-06-02,DC Extended Universe,"$412,845,172","$410,009,114","$822,854,286"
Justice League,2017-11-17,DC Extended Universe,"$229,024,295","$428,902,692","$657,926,987"
Aquaman,2018-12-21,DC Extended Universe,"$335,104,314","$813,424,079","$1,148,528,393"
Shazam!,2019-04-05,DC Extended Universe,"$140,480,049","$227,318,962","$367,799,011"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-07,DC Extended Universe,"$84,172,791","$121,200,000","$205,372,791"
Wonder Woman 1984,2020-12-25,DC Extended Universe,"$46,801,036","$122,800,000","$169,601,036"
The Suicide Squad,2021-08-05,DC Extended Universe,"$55,817,425","$112,900,000","$168,717,425"
Black Adam,2022-10-21,DC Extended Universe,"$168,152,111","$225,300,000","$393,452,111"
Shazam! Fury of the Gods,2023-03-17,DC Extended Universe,"$57,638,006","$76,500,000","$134,138,006"
The Flash,2023-06-16,DC Extended Universe,"$108,133,313","$163,300,000","$271,433,313"
Blue Beetle,2023-08-18,DC Extended Universe,"$72,488,072","$58,300,000","$130,788,072"
Aquaman and the Lost Kingdom,2023-12-20,DC Extended Universe,"$124,481,226","$314,900,000","$439,381,226"
The Marvels,2023-11-10,Marvel Studios,"$84,500,223","$121,636,602","$206,136,825"
Deadpool & Wolverine,2024-07-26,Marvel Studios,636745858,701327787,1338073645
Captain America: Brave New World,2025-02-14,Marvel Studios,200001599,214276189,414277788
